Image,Bead,Mes./theory ratio X,Mes./theory ratio Y,Mes./theory ratio Z,Lateral Asymmetry,Bead coordinates X (pixels),Bead coordinates Y (pixels)
Image 4,bead10,1.74,1.4,0.88,0.8,131.0,318.0
Image 4,bead5,1.55,1.39,0.83,0.9,544.0,454.0
Image 4,bead2,1.47,1.44,0.85,0.98,776.0,291.0
Image 4,bead3,1.55,1.45,0.87,0.93,487.0,163.0
Image 4,bead4,1.53,1.47,0.88,0.96,1117.0,594.0
Image 4,bead8,1.58,1.51,0.83,0.95,58.0,390.0
Image 4,bead6,1.54,1.37,0.93,0.89,42.0,253.0
Image 4,bead7,1.41,1.46,0.8,0.96,1251.0,691.0
Image 4,bead0,1.57,1.43,0.85,0.91,963.0,812.0
Image 4,bead9,1.46,1.43,0.81,0.98,1115.0,703.0
Image 2,bead10,1.43,1.38,0.87,0.96,752.0,1020.0
Image 2,bead11,1.5,1.35,0.87,0.9,766.0,291.0
Image 2,bead5,1.55,1.45,0.88,0.94,1043.0,1165.0
Image 2,bead2,1.5,1.47,0.84,0.98,1188.0,106.0
Image 2,bead3,1.53,1.43,0.86,0.94,955.0,270.0
Image 2,bead4,1.58,1.43,0.86,0.91,469.0,206.0
Image 2,bead8,1.55,1.43,0.83,0.92,766.0,563.0
Image 2,bead1,1.55,1.4,0.84,0.9,454.0,70.0
Image 2,bead6,1.51,1.48,0.86,0.98,543.0,134.0
Image 2,bead7,1.56,1.44,0.88,0.93,324.0,662.0
Image 2,bead0,1.56,1.47,0.84,0.94,760.0,968.0
Image 5,bead5,1.48,1.45,0.85,0.98,419.0,811.0
Image 5,bead2,1.58,1.45,0.89,0.92,184.0,751.0
Image 5,bead3,1.41,1.48,0.88,0.96,1155.0,739.0
Image 5,bead8,1.57,1.44,0.9,0.92,166.0,555.0
Image 5,bead1,1.52,1.42,0.91,0.93,155.0,1063.0
Image 5,bead0,1.52,1.43,0.89,0.94,392.0,1070.0
Image 9,bead26,1.4,1.44,0.95,0.98,1240.0,1018.0
Image 9,bead19,1.43,1.45,0.96,0.99,1121.0,88.0
Image 9,bead21,1.48,1.45,0.95,0.98,911.0,546.0
Image 9,bead17,1.45,1.44,0.98,0.99,1230.0,952.0
Image 9,bead28,1.43,1.4,0.94,0.98,1154.0,604.0
Image 9,bead10,1.44,1.51,0.95,0.95,91.0,1104.0
Image 9,bead44,1.45,1.45,0.97,1.0,609.0,351.0
Image 9,bead43,1.45,1.47,0.95,0.99,1020.0,243.0
Image 9,bead11,1.45,1.43,0.95,0.99,1018.0,520.0
Image 9,bead16,1.41,1.46,0.98,0.97,493.0,992.0
Image 9,bead29,1.44,1.43,0.98,1.0,93.0,1249.0
Image 9,bead20,1.44,1.42,0.97,0.99,654.0,724.0
Image 9,bead27,1.43,1.41,0.94,0.98,341.0,668.0
Image 9,bead18,1.43,1.45,0.98,0.98,965.0,515.0
Image 9,bead42,1.54,1.6,0.99,0.96,741.0,498.0
Image 9,bead45,1.45,1.47,0.97,0.98,672.0,157.0
Image 9,bead5,1.43,1.64,0.97,0.87,743.0,233.0
Image 9,bead2,1.5,1.5,1.01,1.0,238.0,121.0
Image 9,bead3,1.46,1.59,1.0,0.92,480.0,772.0
Image 9,bead4,1.46,1.62,0.97,0.9,876.0,386.0
Image 9,bead58,1.45,1.46,0.97,0.99,179.0,740.0
Image 9,bead56,1.46,1.43,0.95,0.98,998.0,1239.0
Image 9,bead51,1.38,1.43,0.92,0.97,399.0,227.0
Image 9,bead34,1.47,1.44,0.98,0.98,415.0,381.0
Image 9,bead33,1.47,1.45,0.95,0.99,787.0,141.0
Image 9,bead50,1.41,1.43,0.94,0.99,112.0,542.0
Image 9,bead57,1.47,1.47,0.96,1.0,376.0,53.0
Image 9,bead32,1.57,1.45,0.98,0.92,1150.0,437.0
Image 9,bead35,1.43,1.45,0.93,0.99,847.0,780.0
Image 9,bead40,1.44,1.44,0.98,1.0,599.0,467.0
Image 9,bead47,1.37,1.43,0.95,0.96,962.0,844.0
Image 9,bead49,1.39,1.43,0.95,0.97,660.0,1010.0
Image 9,bead22,1.63,1.48,0.99,0.91,140.0,228.0
Image 9,bead25,1.47,1.44,0.92,0.98,780.0,194.0
Image 9,bead13,1.44,1.42,0.98,0.99,50.0,631.0
Image 9,bead14,1.43,1.41,0.98,0.99,594.0,587.0
Image 9,bead48,1.42,1.43,0.98,0.99,60.0,471.0
Image 9,bead46,1.44,1.47,0.97,0.98,1028.0,300.0
Image 9,bead41,1.44,1.42,0.95,0.98,125.0,627.0
Image 9,bead15,1.43,1.42,0.94,0.99,1050.0,1174.0
Image 9,bead12,1.45,1.46,0.95,0.99,408.0,648.0
Image 9,bead24,1.41,1.45,0.95,0.97,1053.0,938.0
Image 9,bead23,1.41,1.43,0.94,0.99,443.0,726.0
Image 9,bead8,1.44,1.48,0.95,0.97,766.0,442.0
Image 9,bead1,1.6,1.81,1.02,0.88,969.0,727.0
Image 9,bead6,1.45,1.42,0.95,0.98,1033.0,634.0
Image 9,bead7,1.43,1.44,0.96,1.0,927.0,342.0
Image 9,bead0,4.86,1.69,1.16,0.35,820.0,253.0
Image 9,bead9,1.42,1.44,0.95,0.99,978.0,997.0
Image 9,bead39,1.46,1.51,0.98,0.97,316.0,345.0
Image 9,bead30,1.43,1.49,1.0,0.96,568.0,173.0
Image 9,bead37,1.43,1.47,0.96,0.97,140.0,895.0
Image 9,bead52,1.38,1.42,0.96,0.98,541.0,496.0
Image 9,bead55,1.42,1.43,0.98,0.99,471.0,1239.0
Image 9,bead36,1.4,1.47,0.93,0.96,863.0,223.0
Image 9,bead31,1.44,1.49,0.96,0.97,226.0,517.0
Image 9,bead38,1.4,1.42,1.01,0.98,616.0,279.0
Image 9,bead54,1.42,1.42,0.99,1.0,1204.0,57.0
Image 9,bead53,1.43,1.42,0.97,1.0,106.0,804.0
Image 7,bead26,1.45,1.49,1.06,0.98,257.0,804.0
Image 7,bead19,1.45,1.58,1.04,0.92,616.0,1061.0
Image 7,bead21,1.41,1.52,1.07,0.93,647.0,733.0
Image 7,bead17,1.41,1.5,1.07,0.94,941.0,712.0
Image 7,bead28,1.4,1.48,1.06,0.95,1084.0,1128.0
Image 7,bead10,1.44,1.5,1.08,0.96,564.0,655.0
Image 7,bead44,1.42,1.51,1.1,0.94,1229.0,150.0
Image 7,bead43,1.39,1.53,1.05,0.91,161.0,148.0
Image 7,bead11,1.44,1.52,1.1,0.95,971.0,1238.0
Image 7,bead16,1.46,1.52,1.09,0.96,302.0,1115.0
Image 7,bead29,1.45,1.47,1.08,0.99,885.0,992.0
Image 7,bead20,1.46,1.52,1.1,0.96,522.0,693.0
Image 7,bead27,1.48,1.54,1.13,0.96,716.0,437.0
Image 7,bead18,1.57,1.54,1.11,0.98,216.0,397.0
Image 7,bead42,1.44,1.53,1.09,0.94,916.0,501.0
Image 7,bead45,1.41,1.52,1.05,0.92,124.0,502.0
Image 7,bead5,1.51,1.58,1.08,0.96,1184.0,755.0
Image 7,bead2,1.42,1.56,1.08,0.91,287.0,1165.0
Image 7,bead3,1.43,2.05,1.17,0.7,241.0,888.0
Image 7,bead4,1.48,2.01,1.15,0.74,272.0,690.0
Image 7,bead34,1.42,1.47,1.05,0.97,310.0,984.0
Image 7,bead33,1.47,1.53,1.05,0.96,910.0,1142.0
Image 7,bead32,1.39,1.47,1.06,0.95,1111.0,289.0
Image 7,bead35,1.55,1.61,1.06,0.96,492.0,1230.0
Image 7,bead40,1.46,1.56,1.09,0.94,376.0,694.0
Image 7,bead22,1.43,1.5,1.09,0.96,836.0,429.0
Image 7,bead25,1.42,1.55,1.1,0.91,1209.0,231.0
Image 7,bead13,1.44,1.51,1.1,0.95,1023.0,391.0
Image 7,bead14,1.41,1.54,1.1,0.92,450.0,172.0
Image 7,bead41,1.4,1.52,1.13,0.92,884.0,912.0
Image 7,bead15,1.44,1.47,1.07,0.99,1167.0,936.0
Image 7,bead12,1.57,1.53,1.06,0.98,367.0,1157.0
Image 7,bead24,1.41,1.53,1.1,0.92,432.0,1220.0
Image 7,bead23,1.45,1.49,1.14,0.97,1245.0,551.0
Image 7,bead8,1.45,1.52,1.07,0.95,1003.0,953.0
Image 7,bead1,1.63,1.68,1.02,0.97,27.0,1253.0
Image 7,bead6,1.58,1.55,1.1,0.98,1183.0,332.0
Image 7,bead7,1.45,1.51,1.15,0.96,777.0,632.0
Image 7,bead0,1.89,1.53,1.15,0.81,851.0,224.0
Image 7,bead9,1.43,1.52,1.06,0.94,690.0,1082.0
Image 7,bead39,1.41,1.52,1.08,0.92,831.0,769.0
Image 7,bead30,1.43,1.52,1.08,0.94,905.0,37.0
Image 7,bead37,1.49,1.41,1.11,0.95,632.0,635.0
Image 7,bead36,1.42,1.48,1.1,0.96,46.0,564.0
Image 7,bead31,1.54,1.5,1.09,0.98,63.0,942.0
Image 7,bead38,1.41,1.49,1.11,0.94,1048.0,437.0
Image 6,bead5,1.44,1.5,1.18,0.96,221.0,1171.0
Image 6,bead2,2.09,1.68,1.29,0.8,961.0,592.0
Image 6,bead3,1.45,1.46,1.15,0.99,604.0,746.0
Image 6,bead4,1.42,1.49,1.13,0.95,721.0,955.0
Image 6,bead8,1.41,1.5,1.14,0.95,528.0,131.0
Image 6,bead1,1.88,2.77,1.6,0.68,736.0,474.0
Image 6,bead6,1.44,1.5,1.12,0.96,242.0,1079.0
Image 6,bead7,1.42,1.47,1.14,0.97,63.0,469.0
Image 6,bead0,1.97,1.85,1.28,0.94,645.0,262.0
Image 6,bead9,1.42,1.45,1.16,0.98,924.0,1221.0
Image 1,bead0,1.6,1.56,0.95,0.97,576.0,617.0
Image 8,bead26,1.47,1.43,0.95,0.97,239.0,92.0
Image 8,bead19,1.44,1.41,0.92,0.98,921.0,1167.0
Image 8,bead21,1.43,1.45,0.93,0.99,1056.0,1054.0
Image 8,bead17,1.54,1.42,0.93,0.93,1037.0,831.0
Image 8,bead28,1.42,1.44,0.98,0.99,70.0,312.0
Image 8,bead10,1.48,1.52,0.96,0.98,834.0,1189.0
Image 8,bead11,1.45,1.43,0.91,0.98,256.0,373.0
Image 8,bead16,1.48,1.46,0.94,0.99,347.0,572.0
Image 8,bead29,1.43,1.44,0.96,0.99,234.0,1172.0
Image 8,bead20,1.45,1.44,0.94,0.99,406.0,768.0
Image 8,bead27,1.4,1.45,0.96,0.97,810.0,646.0
Image 8,bead18,1.47,1.39,0.92,0.95,642.0,741.0
Image 8,bead5,1.46,1.46,0.92,1.0,586.0,461.0
Image 8,bead2,1.53,1.6,0.98,0.96,1124.0,442.0
Image 8,bead3,1.51,1.59,0.94,0.95,1055.0,411.0
Image 8,bead4,1.48,1.45,0.95,0.98,978.0,297.0
Image 8,bead34,1.43,1.39,0.93,0.97,465.0,999.0
Image 8,bead33,1.48,1.52,0.95,0.98,857.0,324.0
Image 8,bead32,1.45,1.42,0.9,0.98,1123.0,945.0
Image 8,bead35,1.36,1.44,0.88,0.95,1259.0,315.0
Image 8,bead22,1.5,1.43,0.89,0.95,255.0,601.0
Image 8,bead25,1.48,1.45,0.9,0.97,1015.0,995.0
Image 8,bead13,1.43,1.38,0.93,0.96,1237.0,857.0
Image 8,bead14,1.44,1.4,0.95,0.97,904.0,535.0
Image 8,bead15,1.44,1.43,0.92,0.99,954.0,906.0
Image 8,bead12,1.42,1.33,0.97,0.94,1174.0,1030.0
Image 8,bead24,1.48,1.43,0.92,0.96,697.0,28.0
Image 8,bead23,1.46,1.48,0.91,0.99,853.0,248.0
Image 8,bead8,1.46,1.46,0.92,1.0,186.0,1078.0
Image 8,bead1,1.46,1.65,0.94,0.88,692.0,357.0
Image 8,bead6,1.45,1.42,0.95,0.98,1154.0,634.0
Image 8,bead7,1.48,1.48,0.94,1.0,216.0,943.0
Image 8,bead0,1.57,1.64,0.96,0.96,643.0,538.0
Image 8,bead9,1.47,1.46,0.92,1.0,599.0,391.0
Image 8,bead30,1.56,1.62,0.96,0.96,732.0,121.0
Image 8,bead31,1.49,1.44,0.91,0.97,399.0,1180.0
Image 10,bead26,2.02,1.82,1.01,0.9,183.0,894.0
Image 10,bead19,1.93,1.74,1.07,0.9,470.0,208.0
Image 10,bead21,1.93,1.76,0.94,0.91,794.0,1018.0
Image 10,bead17,2.18,1.98,0.96,0.91,987.0,1127.0
Image 10,bead28,1.78,1.61,0.97,0.91,859.0,190.0
Image 10,bead10,1.84,1.7,0.95,0.92,344.0,1112.0
Image 10,bead44,1.81,1.64,1.0,0.91,969.0,214.0
Image 10,bead43,2.03,1.76,0.96,0.87,146.0,594.0
Image 10,bead11,1.98,1.79,1.01,0.9,189.0,1023.0
Image 10,bead16,1.98,1.77,1.01,0.89,270.0,649.0
Image 10,bead29,1.9,1.69,0.93,0.89,798.0,768.0
Image 10,bead20,2.1,1.83,0.96,0.87,567.0,542.0
Image 10,bead27,1.8,1.64,0.96,0.91,515.0,849.0
Image 10,bead18,2.18,2.0,1.01,0.91,620.0,1258.0
Image 10,bead42,2.07,1.75,0.99,0.85,287.0,381.0
Image 10,bead45,2.13,1.81,0.98,0.85,670.0,35.0
Image 10,bead5,2.02,1.82,1.0,0.9,686.0,487.0
Image 10,bead2,1.97,1.73,1.0,0.88,481.0,986.0
Image 10,bead3,1.86,1.69,0.97,0.91,1076.0,485.0
Image 10,bead4,1.81,1.7,1.04,0.94,350.0,773.0
Image 10,bead51,1.81,1.62,0.95,0.9,37.0,543.0
Image 10,bead34,1.99,1.74,1.01,0.87,569.0,210.0
Image 10,bead33,1.86,1.71,0.98,0.92,652.0,910.0
Image 10,bead50,1.65,1.56,0.92,0.94,739.0,865.0
Image 10,bead32,2.04,1.77,0.95,0.87,650.0,416.0
Image 10,bead35,1.9,1.76,0.97,0.92,765.0,929.0
Image 10,bead40,1.98,1.74,1.04,0.88,149.0,22.0
Image 10,bead47,1.76,1.61,0.94,0.91,840.0,128.0
Image 10,bead49,2.14,2.0,0.97,0.93,497.0,1241.0
Image 10,bead22,1.96,1.66,0.98,0.85,541.0,126.0
Image 10,bead25,1.76,1.64,1.03,0.93,118.0,1215.0
Image 10,bead13,2.01,1.7,0.99,0.85,394.0,324.0
Image 10,bead14,1.84,1.67,1.0,0.91,621.0,695.0
Image 10,bead48,1.98,1.74,0.96,0.88,250.0,518.0
Image 10,bead46,1.85,1.74,1.04,0.94,27.0,648.0
Image 10,bead41,1.9,1.71,1.02,0.9,717.0,92.0
Image 10,bead15,2.08,1.88,1.01,0.91,558.0,751.0
Image 10,bead12,1.95,1.75,1.01,0.9,202.0,580.0
Image 10,bead24,2.37,1.89,1.13,0.8,172.0,102.0
Image 10,bead23,1.94,1.79,0.95,0.93,914.0,874.0
Image 10,bead8,1.78,1.67,1.01,0.93,179.0,1220.0
Image 10,bead1,2.06,1.92,1.02,0.93,596.0,618.0
Image 10,bead6,1.87,1.76,1.02,0.94,326.0,1238.0
Image 10,bead7,1.82,1.68,1.01,0.93,348.0,907.0
Image 10,bead0,1.83,1.68,0.98,0.92,426.0,954.0
Image 10,bead9,1.96,1.8,1.03,0.92,939.0,784.0
Image 10,bead39,2.02,1.8,0.99,0.89,434.0,572.0
Image 10,bead30,1.94,1.76,0.94,0.91,798.0,1134.0
Image 10,bead37,1.7,1.57,0.93,0.93,584.0,1035.0
Image 10,bead36,1.87,1.74,0.98,0.93,966.0,621.0
Image 10,bead31,1.76,1.63,1.02,0.93,519.0,272.0
Image 10,bead38,1.88,1.69,0.92,0.9,614.0,1097.0
